3109	0	1	FJK	FJK
3138	0	0	U	U
3139	0	0	U	U
3140	0	0	U	U
3142	0	0	U	U
3204	0	0	U	U
3344	0	0	U	U
3524	0	1	ELR	BELR
3724	0	94	H	H
3808	0	2	FJK	FJK
3945	0	0	U	U
3952	0	2	BELR	B
4312	0	0	FJK	FJ
4356	0	0	ELR	U
4370	0	0	ELR	BELR
4374	0	0	ELR	BELR
4383	0	0	ELR	BELR
4414	0	0	U	U
3049	1	2	BEL	BER
3100	1	1	U	N
3118	1	0	F	U
3131	1	1	U	U
3350	1	0	N	U
3371	1	1	U	U
3408	1	1	FJ	U
3528	1	598	N	U
3567	1	919	H	F
3581	1	1	U	U
3582	1	1	U	U
3755	1	42	N	U
3765	1	1	BELR	ELR
3834	1	1	U	U
3894	1	1	U	U
3899	1	1	U	U
3910	1	5	FJK	U
4104	1	1	U	U
4124	1	2	BCELR	CER
4323	1	1	N	N
4327	1	1	FJK	FJ
4361	1	0	ELR	N
4364	1	0	BEL	U
4369	1	0	BEL	U
4412	1	1	FJK	F
4462	1	0	FJK	FJ
4603	1	14	CE	CE
4616	1	1	BCELR	BCER
3004	2	0	FJK	U
3108	2	6	FJ	F
3117	2	1	FJ	BCELR
3123	2	4	FJK	FJK
3293	2	2	FJ	FJ
3308	2	88	FJK	F
3656	2	2	FJ	FJ
3702	2	478	F	BCELR
3751	2	2	BCELR	CE
3752	2	2	BCELR	CE
3760	2	6	FJK	FJK
3762	2	66	FJK	FJK
3766	2	1	FJK	FJK
3767	2	3	BCE	CE
3779	2	0	N	U
3784	2	0	CER	U
3798	2	2	FJK	FJK
3812	2	1	FJK	U
3875	2	2	N	N
3880	2	2	FJK	FJK
3891	2	68	FJ	FJK
3895	2	3	BEL	BER
3918	2	4	CEL	CE
3939	2	3	BCELR	BCE
3941	2	16	BCELR	FJ
4096	2	38	FJ	F
4296	2	3	CER	BCE
4332	2	0	CELR	U
4345	2	2	BEL	BCELR
4447	2	2	FJK	FJK
4459	2	2	FJK	FJK
4533	2	2	N	N
4559	2	48	FJK	F
